'Simulation','Policy','n_Public_Ambulance','n_Private_Ambulance','n_Car','PatientProbability','Patients_Created','Public_Ambulance_Saved','Private_Ambulance_Saved','Car_Saved','Dead','Alive','Public_Ambulance_Cost','Private_Ambulance_Cost','Total_Cost',DeathRate
'Simulation 53',2,4,0,0,0.5,5033,335,0,0,4643,55,40000,0,40000,0.922511425
'Simulation 54',2,4,0,0,0.5,4881,395,0,0,4428,58,40000,0,40000,0.907191149
'Simulation 55',2,4,0,0,0.5,4997,464,0,0,4475,58,40000,0,40000,0.895537322
'AveragedSim',2,4,0,0,0.5,4961.2,394.8,0,0,4511.8,54.6,40000,0,40000,0.909417077
'Simulation 56',2,4,0,0,0.55,5594,310,0,0,5217,67,40000,0,40000,0.932606364
'Simulation 57',2,4,0,0,0.55,5496,359,0,0,5074,63,40000,0,40000,0.923216885
'Simulation 58',2,4,0,0,0.55,5542,322,0,0,5169,51,40000,0,40000,0.932695778
'Simulation 59',2,4,0,0,0.55,5518,331,0,0,5132,55,40000,0,40000,0.930047119
'Simulation 60',2,4,0,0,0.55,5449,322,0,0,5064,63,40000,0,40000,0.929344834
'AveragedSim',2,4,0,0,0.55,5519.8,328.8,0,0,5131.2,59.8,40000,0,40000,0.929598899
'Simulation 61',2,4,0,0,0.6,5930,335,0,0,5526,69,40000,0,40000,0.931871838
'Simulation 62',2,4,0,0,0.6,6089,332,0,0,5695,62,40000,0,40000,0.935293152
'Simulation 63',2,4,0,0,0.6,6126,308,0,0,5753,65,40000,0,40000,0.939111982
'Simulation 64',2,4,0,0,0.6,5947,303,0,0,5584,60,40000,0,40000,0.938960821
'Simulation 65',2,4,0,0,0.6,6019,356,0,0,5603,60,40000,0,40000,0.930885529
'AveragedSim',2,4,0,0,0.6,6022.2,326.8,0,0,5632.2,63.2,40000,0,40000,0.935239613
'Simulation 66',2,4,0,0,0.65,6495,298,0,0,6130,67,40000,0,40000,0.943802925
'Simulation 67',2,4,0,0,0.65,6465,322,0,0,6081,62,40000,0,40000,0.940603248
'Simulation 68',2,4,0,0,0.65,6472,322,0,0,6077,73,40000,0,40000,0.938967862
'Simulation 69',2,4,0,0,0.65,6445,334,0,0,6041,70,40000,0,40000,0.937315749
'Simulation 70',2,4,0,0,0.65,6458,327,0,0,6057,74,40000,0,40000,0.937906473
'AveragedSim',2,4,0,0,0.65,6467,320.6,0,0,6077.2,69.2,40000,0,40000,0.939724756
'Simulation 71',2,4,0,0,0.7,7033,319,0,0,6632,82,40000,0,40000,0.94298308
'Simulation 72',2,4,0,0,0.7,7016,271,0,0,6672,73,40000,0,40000,0.950969213
'Simulation 73',2,4,0,0,0.7,6933,266,0,0,6592,75,40000,0,40000,0.950814943
'Simulation 74',2,4,0,0,0.7,7005,305,0,0,6632,68,40000,0,40000,0.94675232
'Simulation 75',2,4,0,0,0.7,6988,265,0,0,6644,79,40000,0,40000,0.950772753
'AveragedSim',2,4,0,0,0.7,6995,285.2,0,0,6634.4,75.4,40000,0,40000,0.948448892
'Simulation 76',2,4,0,0,0.75,7463,213,0,0,7174,76,40000,0,40000,0.961275626
'Simulation 77',2,4,0,0,0.75,7458,266,0,0,7124,68,40000,0,40000,0.955215876
'Simulation 78',2,4,0,0,0.75,7548,286,0,0,7178,84,40000,0,40000,0.950980392
'Simulation 79',2,4,0,0,0.75,7490,275,0,0,7135,80,40000,0,40000,0.952603471
'Simulation 80',2,4,0,0,0.75,7608,252,0,0,7275,81,40000,0,40000,0.956230284
'AveragedSim',2,4,0,0,0.75,7513.4,258.4,0,0,7177.2,77.8,40000,0,40000,0.955253281
'Simulation 81',2,4,0,0,0.8,7997,245,0,0,7668,84,40000,0,40000,0.958859572
'Simulation 82',2,4,0,0,0.8,8042,247,0,0,7712,83,40000,0,40000,0.958965431
'Simulation 83',2,4,0,0,0.8,8050,272,0,0,7695,83,40000,0,40000,0.955900621
'Simulation 84',2,4,0,0,0.8,8080,240,0,0,7747,93,40000,0,40000,0.958787129
'Simulation 85',2,4,0,0,0.8,8014,268,0,0,7656,90,40000,0,40000,0.955328176
'AveragedSim',2,4,0,0,0.8,8036.6,254.4,0,0,7695.6,86.6,40000,0,40000,0.957569121
'Simulation 86',2,4,0,0,0.85,8436,273,0,0,8074,89,40000,0,40000,0.957088668
'Simulation 87',2,4,0,0,0.85,8468,250,0,0,8129,89,40000,0,40000,0.959966934
'Simulation 88',2,4,0,0,0.85,8467,229,0,0,8144,94,40000,0,40000,0.961851896
'Simulation 89',2,4,0,0,0.85,8436,257,0,0,8088,91,40000,0,40000,0.958748222
'Simulation 90',2,4,0,0,0.85,8498,248,0,0,8154,96,40000,0,40000,0.959519887
'AveragedSim',2,4,0,0,0.85,8461,251.4,0,0,8117.8,91.8,40000,0,40000,0.959437419
'Simulation 91',2,4,0,0,0.9,9024,244,0,0,8683,97,40000,0,40000,0.962211879
'Simulation 92',2,4,0,0,0.9,9004,240,0,0,8667,97,40000,0,40000,0.96257219
'Simulation 93',2,4,0,0,0.9,8994,225,0,0,8670,99,40000,0,40000,0.963975984
'Simulation 94',2,4,0,0,0.9,8990,232,0,0,8655,103,40000,0,40000,0.962736374
'Simulation 95',2,4,0,0,0.9,8990,244,0,0,8647,99,40000,0,40000,0.961846496
'AveragedSim',2,4,0,0,0.9,9000.4,237,0,0,8664.4,99,40000,0,40000,0.962668326
'Simulation 96',2,4,0,0,0.95,9545,228,0,0,9218,99,40000,0,40000,0.965741226
'Simulation 97',2,4,0,0,0.95,9505,237,0,0,9161,107,40000,0,40000,0.963808522
'Simulation 98',2,4,0,0,0.95,9530,200,0,0,9227,103,40000,0,40000,0.968205666
'Simulation 99',2,4,0,0,0.95,9527,216,0,0,9207,104,40000,0,40000,0.966411252
'Simulation 100',2,4,0,0,0.95,9530,239,0,0,9186,105,40000,0,40000,0.963903463
'AveragedSim',2,4,0,0,0.95,9527.4,224,0,0,9199.8,103.6,40000,0,40000,0.965614963
'Simulation 101',2,4,0,0,1,10000,225,0,0,9666,109,40000,0,40000,0.9666
'Simulation 102',2,4,0,0,1,10000,215,0,0,9677,108,40000,0,40000,0.9677
'Simulation 103',2,4,0,0,1,10000,255,0,0,9635,110,40000,0,40000,0.9635
'Simulation 104',2,4,0,0,1,10000,259,0,0,9633,108,40000,0,40000,0.9633
'Simulation 105',2,4,0,0,1,10000,215,0,0,9678,107,40000,0,40000,0.9678
'AveragedSim',2,4,0,0,1,10000,233.8,0,0,9657.8,108.4,40000,0,40000,0.96578
